,companyName,Freq,RIC,mnemonic,name,searchTerm,DmitrySearchTerm,MarisSearchTerm,TwitterAccount,hashtagSearch
1,Abacus Property Group,63,ABP.AX,A:ABPX,ABACUS PROPERTY GROUP STAPLED UNITS,Abacus Property Group,,,,
2,Accent Group,63,AX1.AX,A:AX1X,ACCENT GROUP,Accent Group,,,,
3,Adelaide Brighton,63,ABC.AX,A:ABCX,ADELAIDE BRIGHTON,Adelaide Brighton,,,,
4,AGL Energy,63,AGL.AX,A:AGLX,AGL ENERGY,AGL Energy,,,,
5,Ainsworth Game Technology Ltd,63,AGI.AX,A:AGIX,AINSWORTH GAME TECH.,Ainsworth Game Technology Ltd,,Ainsworth Game Technology,,
6,ALS,63,ALS.TO,C:ALS,ALTIUS MINERALS,ALS,,,,
7,Altium,63,ALU.AX,A:ALUX,ALTIUM,Altium,,,,
8,Alumina,63,AWC.AX,A:AWCX,ALUMINA,Alumina,,,,
9,AMA Group,63,AMA.MC,E:AMS,AMADEUS IT GROUP,AMA Group,,,,
10,Amalgamated Holdings,63,EVT.AX,A:EVTX,EVENT HOSPLTY.&.ENTM.,Amalgamated Holdings,,,,
11,Amcor CDI,63,AMC.AX,A:AMCX,AMCOR CDI,Amcor CDI,,,,
12,AMP,63,AMP,U:AMP,AMERIPRISE FINL.,AMP,,,,
13,Ansell,63,ANN.AX,A:ANNX,ANSELL,Ansell,,,,
14,APA Group,63,APA.AX,A:APAX,APA GROUP,APA Group,,,,
15,ARB Corporation,63,ARB.AX,A:ARBX,ARB,ARB Corporation,,,,
16,Arena REIT No 1,63,ARF.AX,A:ARFX,ARENA REIT STAPLED UNITS,Arena REIT No 1,,,,
17,Aristocrat Leisure,63,ALL.AX,A:ALLX,ARISTOCRAT LEISURE,Aristocrat Leisure,,,,
18,Asaleo Care,63,AHY.AX,A:AHYX,ASALEO CARE,Asaleo Care,,,,
19,ASX,63,ASX.AX,A:ASXX,ASX,ASX,,,,
20,Atlas Arteria,63,ALX.AX,A:ALXX,ATLAS ARTERIA STAPLED UNITS,Atlas Arteria,,,,
21,Aurizon Holdings,63,AZJ.AX,A:AZJX,AURIZON HOLDINGS,Aurizon Holdings,,,,
22,Ausnet Services,63,AST.AX,A:ASTX,AUSNET SERVICES,Ausnet Services,,,,
23,Austal,63,ASB.AX,A:ASBX,AUSTAL,Austal,,,,
24,Austbrokers Holdings,63,AUBOF.PK,NA,NA,Austbrokers Holdings,D:A5H,,,
25,Australia & New Zealand Banking Group,63,ANZ.AX,A:ANZX,AUS.AND NZ.BANKING GP.,Australia & New Zealand Banking Group,,,,
26,Australian Agricultural,63,ORE.AX,A:OREX,OROCOBRE,Australian Agricultural,,,,
27,Australian Pharmaceutical Industries,63,API.AX,A:APIX,AUSTRALIAN PHARM.INDS.,Australian Pharmaceutical Industries,,,,
28,AVJennings,63,AVJ.AX,A:AVJX,AVJENNINGS,AVJennings,,,,
29,Bank of Queensland Ltd.,63,BOQ.AX,A:BOQX,BANK OF QLND.,Bank of Queensland Ltd.,,,,
30,Bapcor,63,BAP.AX,A:BAPX,BAPCOR,Bapcor,,,,
31,Beach Energy,63,BPT.AX,A:BPTX,BEACH ENERGY,Beach Energy,,,,
32,Bega Cheese,63,BGA.AX,A:BGAX,BEGA CHEESE,Bega Cheese,,,,
33,Bendigo and Adelaide Bank,63,BEN.AX,A:BENX,BENDIGO & ADELAIDE BANK,Bendigo and Adelaide Bank,,,,
34,BHP Group,63,BHPB.L,BHP,BHP GROUP,BHP Group,,,,
35,Blackmores,63,BKL.AX,A:BKLX,BLACKMORES,Blackmores,,,,
36,Bluescope Steel,63,BSL.AX,A:BSLX,BLUESCOPE STEEL,Bluescope Steel,,,,
37,Boral,63,BLD.AX,A:BLDX,BORAL,Boral,,,,
38,Brambles,63,BXB.AX,A:BXBX,BRAMBLES,Brambles,,,,
39,Breville Group,63,BRG.AX,A:BRGX,BREVILLE GROUP,Breville Group,,,,
40,Brickworks,63,BKW.AX,A:BKWX,BRICKWORKS,Brickworks,,,,
41,BWP Trust,63,BWP.AX,A:BWPX,BWP TRUST,BWP Trust,,,,
42,Cabcharge Australia,63,GK6.F,D:GK6,A2B AUSTRALIA (FRA),Cabcharge Australia,,,,
43,Caltex Australia,63,ALD.AX,A:ALDX,AMPOL,Caltex Australia,,,,
44,Cardno,63,CDD.AX,A:CDDX,CARDNO,Cardno,,,,
