,companyName,Freq,RIC,mnemonic,name,searchTerm,finalSearchTerm,DmitrySearchTerm,MarisSearchTerm,TwitterAccount,hashtagSearch,notes,FirstTerm,
1,Abacus Property Group,63,ABP.AX,A:ABPX,ABACUS PROPERTY GROUP STAPLED UNITS,Abacus Property Group,abacus property,,,Abacuspty,abacuspropertygroup,,Abacus,
2,Accent Group,63,AX1.AX,A:AX1X,ACCENT GROUP,Accent Group,Accent Group,,,AccentGroupInc,AccentGroup,,Accent,
3,Adelaide Brighton,63,ABC.AX,A:ABCX,ADELAIDE BRIGHTON,Adelaide Brighton,Adelaide Brighton,,,,ADBRI,name changed to ADBRI in may 2020,Adelaide,
4,AGL Energy,63,AGL.AX,A:AGLX,AGL ENERGY,AGL Energy,AGL,,,aglenergy,agl,,AGL,
5,Ainsworth Game Technology Ltd,63,AGI.AX,A:AGIX,AINSWORTH GAME TECH.,Ainsworth Game Technology Ltd,Ainsworth game,,Ainsworth Game Technology,AGTSlotNews,Ainsworth,,Ainsworth,
6,ALS,63,ALS.TO,C:ALS,ALTIUS MINERALS,ALS,ALS australia,,ALS australia,ALSltdAustralia,als,,ALS,
7,Altium,63,ALU.AX,A:ALUX,ALTIUM,Altium,altium,,,altium,altium,altiumlive,Altium,
8,Alumina,63,AWC.AX,A:AWCX,ALUMINA,Alumina,Alumina,,,AluminaCol,Alumina,,Alumina,
9,AMA Group,63,AMA.MC,E:AMS,AMADEUS IT GROUP,AMA Group,ama,,,ama_herbal,AMA,,AMA,
10,Amalgamated Holdings,63,EVT.AX,A:EVTX,EVENT HOSPLTY.&.ENTM.,Amalgamated Holdings,event hospitality and entertainment,,,,Event Hospitality & Entertainment ,"Event Hospitality & Entertainment Limited on 17 December 2015. own brands Event Cinemas, Moonlight Cinema, Cinestar, Greater Union, GU Filmhouse and Birch Carroll & Coyle brands. Also includes the ownership of the Sydney-based State Theatre, and Edge Digital Technology, a cinema technology supplies company. Encompasses the ownership and management of hotels in Australia, New Zealand and the United Kingdom through the Rydges, QT Hotels + Resorts, Eventhouse and Atura Hotel brands. Also includes the ownership of Thredbo Alpine Village, located in New South Wales",Amalgamated,
11,Amcor CDI,63,AMC.AX,A:AMCX,AMCOR CDI,Amcor CDI,amcor,,Amcor,amcor,amcor,,Amcor,
12,AMP,63,AMP,U:AMP,AMERIPRISE FINL.,AMP,amp,,,amp_au,amp_au,,AMP,
13,Ansell,63,ANN.AX,A:ANNX,ANSELL,Ansell,Ansell,,,AnsellProtects,,,Ansell,
14,APA Group,63,APA.AX,A:APAX,APA GROUP,APA Group,apa group,,,APAGroup,apagroup,,APA,
15,ARB Corporation,63,ARB.AX,A:ARBX,ARB,ARB Corporation,arb,,,ARB4x4,arb,,ARB,
16,Arena REIT No 1,63,ARF.AX,A:ARFX,ARENA REIT STAPLED UNITS,Arena REIT No 1,arena,,,,arena,,Arena,
17,Aristocrat Leisure,63,ALL.AX,A:ALLX,ARISTOCRAT LEISURE,Aristocrat Leisure,Aristocrat Leisure,,,,AristocratLeisure,,AristocratLeisure,
18,Asaleo Care,63,AHY.AX,A:AHYX,ASALEO CARE,Asaleo Care,Asaleo,,,AsaleoCare,Asaleo,,Asaleo,
19,ASX,63,ASX.AX,A:ASXX,ASX,ASX,asx,,,asx,asx,,ASX,
20,Atlas Arteria,63,ALX.AX,A:ALXX,ATLAS ARTERIA STAPLED UNITS,Atlas Arteria,,,,MacquarieAtlasRoads,Atlas Arteria,name change from MacquarieAtlasRoads to Atlas Arteria,Atlas Arteria',roads
21,Aurizon Holdings,63,AZJ.AX,A:AZJX,AURIZON HOLDINGS,Aurizon ,,,,aurizon,aurizon,,Aurizon,
22,Ausnet Services,63,AST.AX,A:ASTX,AUSNET SERVICES,Ausnet Services,,,,AusNetServices,AusNet,,Ausnet,
23,Austal,63,ASB.AX,A:ASBX,AUSTAL,Austal,,,,austal,austal,,Austal,
24,Austbrokers Holdings,63,AUBOF.PK,NA,NA,Austbrokers Holdings,,D:A5H,,abcountrywide,Austbrokers,,Austbrokers,
25,Australia & New Zealand Banking Group,63,ANZ.AX,A:ANZX,AUS.AND NZ.BANKING GP.,Australia & New Zealand Banking Group,,,,ANZ_AU,anz,"several accounts, ANZ_AU, anz_newsroom",Australia,
26,Australian Agricultural,63,ORE.AX,A:OREX,OROCOBRE,Australian Agricultural,Australian Agricultural asx,,,,,,Australian Agricultural asx,
27,Australian Pharmaceutical Industries,63,API.AX,A:APIX,AUSTRALIAN PHARM.INDS.,Australian Pharmaceutical Industries,Australian Pharmaceutical Industries,,,PharmGuildAus,PharmGuildAus,,Australian,
28,AVJennings,63,AVJ.AX,A:AVJX,AVJENNINGS,AVJennings,,,,AVJennings_Ltd,AVJennings,,AVJennings,
29,Bank of Queensland Ltd.,63,BOQ.AX,A:BOQX,BANK OF QLND.,boq,,,,BOQ,BOQ,,,
30,Bapcor,63,BAP.AX,A:BAPX,BAPCOR,Bapcor,,,,Bapcor,,,Bapcor,
31,Beach Energy,63,BPT.AX,A:BPTX,BEACH ENERGY,Beach Energy,,,,BeachEnergyLtd,BeachEnergy,,Beach Energy,
32,Bega Cheese,63,BGA.AX,A:BGAX,BEGA CHEESE,Bega Cheese,,,,BegaCheese_,BegaCheese,,Bega,
33,Bendigo and Adelaide Bank,63,BEN.AX,A:BENX,BENDIGO & ADELAIDE BANK,Bendigo and Adelaide Bank,,,,bendigobank,bendigobank,Adelaidebank,Bendigo and Adelaide Bank,
